English,Arabic
Get instant answers about your business,احصل على إجابات فورية حول عملك
Daily Insights,رؤى يومية
Smart business intelligence delivered daily,ذكاء تجاري ذكي يُرسل إليك يوميًا
Live Agent Intelligence Center,مركز الذكاء المباشر
"5 AI agents optimizing your business 24/7","5 عوامل ذكاء اصطناعي تعمل على تحسين عملك على مدار الساعة"
Smart Inventory,مخزون ذكي
Automated restocking and demand prediction,إعادة تخزين تلقائي وتوقعات الطلبات
Profit Optimizer,محسّن الأرباح
AI-powered margin and pricing optimization,تحسين الهوامش والتسعير باستخدام الذكاء الاصطناعي
Smart Promotions,عروض ترويجية ذكية
AI creates and optimizes promotional campaigns,الذكاء الاصطناعي ينشئ ويُحسن الحملات الترويجية
Sarah Chen,سارة تشين
E-commerce Manager,مديرة التجارة الإلكترونية
Urban Threads,Urban Threads
"WOW AI transformed how we manage our store. The insights are incredible.","WOW AI غيّر تمامًا طريقة إدارتنا للمتجر. الرؤى مذهلة."
Marcus Rodriguez,ماركوس رودريغيز
Store Owner,مالك متجر
Tech Haven,Tech Haven
"I save 10+ hours per week with the automated agents. Game changer.","أوفر أكثر من 10 ساعات أسبوعيًا بفضل العوامل الآلية. تغيير جذري."
Emily Davis,إميلي ديفيس
Operations Director,مديرة العمليات
Fashion Forward,Fashion Forward
"The pricing agent increased our margins by 15% in just 2 months.","عامل التسعير زاد هامشنا بنسبة 15% خلال شهرين فقط."
Alex Thompson,أليكس طومسون
Digital Marketing Manager,مدير التسويق الرقمي
Style Co,Style Co
"The AI insights helped us identify our best-selling products before they went viral.","الرؤى الذكية ساعدتنا في تحديد أفضل منتجاتنا قبل أن تصبح رائجة."
Jessica Wang,جيسيكا وانغ
Business Owner,مالكة أعمال
Modern Living,Modern Living
"Inventory management used to be my biggest headache. Now it's completely automated.","إدارة المخزون كانت أكبر صداع لي. الآن أصبحت مؤتمتة بالكامل."
David Kim,ديفيد كيم
E-commerce Director,مدير التجارة الإلكترونية
TechStyle,TechStyle
"Our conversion rate increased by 23% after implementing the smart promotions agent.","معدل التحويل لدينا زاد بنسبة 23% بعد تطبيق عامل العروض الذكية."
Lisa Martinez,ليزا مارتينيز
Store Manager,مديرة متجر
Urban Essentials,Urban Essentials
"The daily insights are like having a business consultant available 24/7.","الرؤى اليومية مثل وجود مستشار أعمال متاح 24/7."
WOW AI Demo,عرض WOW AI
Get Started,ابدأ الآن
Next,التالي
Previous,السابق
Pause,إيقاف مؤقت
Play,تشغيل
"Step {current} of {total}","الخطوة {current} من {total}"
Connect Your Store,اربط متجرك
Simply connect your Salla store in seconds,اربط متجرك على سلة بسهولة خلال ثوانٍ
Urban Threads Boutique,بوتيك Urban Threads
Connecting to your store...,جارٍ الاتصال بمتجرك...
Connected successfully!,تم الاتصال بنجاح!
Store Connected,تم ربط المتجر
AI Analysis Begins,بدء التحليل الذكي
WOW AI analyzes your store data and identifies opportunities,يحلل WOW AI بيانات متجرك ويحدد الفرص
"Analyzing {count} products...","جارٍ تحليل {count} منتج..."
Processing sales data...,جارٍ معالجة بيانات المبيعات...
Identifying trends...,جارٍ تحديد الاتجاهات...
Setting up AI agents...,جارٍ إعداد عوامل الذكاء الاصطناعي...
Meet Your AI Agents,تعرف على عوامل الذكاء الاصطناعي الخاصة بك
Your specialized AI team is ready to work,فريقك الذكي جاهز للعمل
Meet Your AI Team,تعرف على فريقك
Finance Agent,عامل المالية
Inventory Agent,عامل المخزون
Pricing Agent,عامل التسعير
Logistics Agent,عامل اللوجستيات
Promotions Agent,عامل الترويج
active,نشط
First Insights Generated,تم توليد أولى الرؤى
Your daily insights are ready,رؤاك اليومية جاهزة
Your First Insights,أولى الرؤى الخاصة بك
Inventory Alert: Bestsellers Running Low,تنبيه المخزون: المنتجات الأكثر مبيعًا تنفد
5 top products need immediate restock,5 منتجات تحتاج إلى إعادة تخزين فوري
Pricing Opportunity Detected,فرصة تسعير مكتشفة
Increase margins on 12 products by 8%,ارفع الهوامش على 12 منتجًا بنسبة 8%
Seasonal Trend Analysis,تحليل الاتجاهات الموسمية
Winter collection performing 23% above forecast,أداء مجموعة الشتاء يفوق التوقعات بنسبة 23%
high,عالية
medium,متوسطة
low,منخفضة
Chat with Your Data,تحدث إلى بياناتك
Ask anything about your store in natural language,اسأل أي شيء عن متجرك بلغة طبيعية
Chat with Your Data,تحدث مع بياناتك
Online,متصل
What are my best performing products this month?,ما هي أفضل منتجاتي هذا الشهر؟
"Your top 3 products are:\n1. Winter Parka ($2,340 revenue)\n2. Cozy Sweater ($1,890 revenue)\n3. Thermal Leggings ($1,650 revenue)\n\nWinter Parka has a 34% profit margin and is trending up 23% vs last month.","أفضل ٣ منتجات لك هي:\n١. سترة شتوية (٢،٣٤٠ ريال إيرادات)\n٢. كنزة دافئة (١،٨٩٠ ريال إيرادات)\n٣. طماق حراري (١،٦٥٠ ريال إيرادات)\n\nالسترة الشتوية لها هامش ربح ٣٤٪ وترتفع بنسبة ٢٣٪ مقارنة بالشهر الماضي."
Should I increase the price of Winter Parka?,هل يجب أن أزيد سعر السترة الشتوية؟
"Yes! Based on demand trends and competitor analysis, you can increase the price by 12-15% without affecting sales. This could boost monthly profit by $280.","نعم! بناءً على اتجاهات الطلب وتحليل المنافسين، يمكنك زيادة السعر بنسبة ١٢-١٥٪ دون التأثير على المبيعات. هذا يمكن أن يزيد الربح الشهري بمقدار ٢٨٠ ريال."
Automated Actions,إجراءات مؤتمتة
Watch AI agents take action automatically,شاهد عوامل الذكاء الاصطناعي تتخذ الإجراءات تلقائيًا
AI Agents Taking Action,العوامل تتخذ الإجراءات
completed,مكتمل
in-progress,قيد التنفيذ
Inventory,المخزون
Pricing,التسعير
Promotions,العروض الترويجية
Reordered 50 Winter Parkas from supplier,أعاد طلب ٥٠ سترة شتوية من المورد
Updated 3 product prices based on market analysis,حدّث أسعار ٣ منتجات بناءً على تحليل السوق
Created flash sale for slow-moving summer items,أنشأ تخفيض سريع للمنتجات الصيفية بطيئة الحركة
Results Dashboard,لوحة نتائج الأداء
See the immediate impact on your business,شاهد التأثير الفوري على عملك
Immediate Results,نتائج فورية
See the impact on your business in just 24 hours,شاهد التأثير خلال 24 ساعة فقط
Revenue Increase,زيادة الإيرادات
Time Saved,الوقت الموفر
Profit Margin,هامش الربح
Inventory Efficiency,كفاءة المخزون
Ready to Transform Your Store?,هل أنت مستعد لتحويل متجرك؟
Join store owners experiencing the WOW factor.,انضم إلى أصحاب المتاجر الذين يشعرون بتأثير WOW.
Start Free Trial,ابدأ الفترة التجريبية المجانية
Login,تسجيل الدخول
Exit Demo,الخروج من العرض التوضيحي
of,من
What are my top products this month?,ما هي أفضل منتجاتي هذا الشهر؟
"Top 3 Products:\n1. Winter Parka - $12,450 (↑23%)\n2. Cozy Sweater - $8,920 (↑18%)\n3. Thermal Boots - $6,780 (↑31%)\n\nTotal revenue: $28,150 this month","أفضل ٣ منتجات:\n١. سترة شتوية - ١٢،٤٥٠ ريال (↑٢٣٪)\n٢. كنزة دافئة - ٨،٩٢٠ ريال (↑١٨٪)\n٣. أحذية حرارية - ٦،٧٨٠ ريال (↑٣١٪)\n\nإجمالي الإيرادات: ٢٨،١٥٠ ريال هذا الشهر"
Revenue,الإيرادات
"$28,150","٢٨،١٥٠ ريال"
+23%,+٢٣٪
Orders,الطلبات
247,٢٤٧
+18%,+١٨٪
Instant AI insights with data,رؤى ذكية فورية مع البيانات
Revenue Opportunity Detected,اكتشاف فرصة إيرادات
high,عالية
"+$4,230 potential","+٤،٢٣٠ ريال محتملة"
"Winter collection performing 34% above forecast","مجموعة الشتاء تحقق أداءً أعلى بنسبة ٣٤٪ من التوقعات"
"Increase winter inventory by 25%","زيادة مخزون الشتاء بنسبة ٢٥٪"
"Launch targeted winter campaign","إطلاق حملة شتوية مستهدفة"
"Optimize pricing for peak demand","تحسين التسعير لذروة الطلب"z
alerts,تنبيهات
actions,إجراءات
revenue,إيرادات
efficiency,كفاءة
Finance,المالية
active,نشط
Optimized 12 prices,حسّن ١٢ سعر
Inventory,المخزون
working,يعمل
Reordered 5 products,أعاد طلب ٥ منتجات
Pricing,التسعير
Found 3 opportunities,وجد ٣ فرص
Logistics,اللوجستيات
Optimized shipping,حسّن الشحن
Promotions,العروض الترويجية
Created flash sale,أنشأ تخفيض سريع
Score,نقاط
revenue impact,تأثير الإيرادات
Winter Parka,سترة شتوية
Stock,المخزون
Demand,الطلب
High,عالي
Medium,متوسط
Reorder 50 units,أعد طلب ٥٠ قطعة
Reorder 25 units,أعد طلب ٢٥ قطعة
Thermal Gloves,قفازات حرارية
12 orders placed automatically this month,تم وضع ١٢ طلب تلقائياً هذا الشهر
Smart restocking alerts,تنبيهات إعادة التخزين الذكية
Gross Margin,الهامش الإجمالي
"34.2%","٣٤.٢٪"
"+2.3%","+٢.٣٪"
35%,٣٥٪
Net Profit,صافي الربح
"$18,450","١٨،٤٥٠ ريال"
+15%,+١٥٪
$20K,٢٠ ألف ريال
AOV,متوسط قيمة الطلب
$127,١٢٧ ريال
+8%,+٨٪
$130,١٣٠ ريال
Target,الهدف
Increase Winter Parka price,زيادة سعر السترة الشتوية
+$890/month,+٨٩٠ ريال/شهر
94%,٩٤٪
Bundle slow-moving items,تجميع المنتجات بطيئة الحركة
+$340/month,+٣٤٠ ريال/شهر
87%,٨٧٪
Profit optimization,تحسين الأرباح
Winter Flash Sale,تخفيض الشتاء السريع
live,مباشر
+23% conversion,+٢٣٪ تحويل
"$3,240","٣،٢٤٠ ريال"
2d 14h,يومان ١٤ساعة
Bundle Boost,دفعة الحزم
scheduled,مجدول
+18% AOV,+١٨٪ متوسط قيمة الطلب
"$2,100","٢،١٠٠ ريال"
Tomorrow 9AM,غداً ٩ صباحاً
Performance,الأداء
Revenue,الإيرادات
3 campaigns created automatically this week,تم إنشاء ٣ حملات تلقائياً هذا الأسبوع
Loading...,جارٍ التحميل...
Error,خطأ
Success,تم بنجاح
Close,إغلاق
Open,فتح
Save,حفظ
Cancel,إلغاء
Confirm,تأكيد
Delete,حذف
Edit,تعديل
